URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/BANCOINDIA,Banco Products (India) Ltd.,Auto Ancillary,1057.00,N/A,1086.45,1002.2,1189.6,9.36,2,"1.89
                                %",112.9,25.81 Cr.,4.64 Cr.,67.88 %,25.15,0.75
https://ticker.finology.in/company/DCAL,Dishman Carbogen Amcis Ltd.,Pharmaceuticals & Drugs,269.05,N/A,277.95,266.9,307.8,1.04,2,"0
                                %",258.02,9.9 Cr.,523.98 Cr.,59.32 %,-2.46,-18.68
https://ticker.finology.in/company/JFLLIFE,JFL Life Sciences Ltd.,Pharmaceuticals & Drugs,32.35,N/A,32.35,32.35,37.15,1.85,10,"0.77
                                %",17.45,0.03 Cr.,5.69 Cr.,67.47 %,1,8.68
https://ticker.finology.in/company/LUMAXTECH,Lumax Auto Technologies Ltd.,Auto Ancillary,641.05,N/A,641.05,617.65,652,6.39,2,"0.86
                                %",100.38,12.62 Cr.,368.66 Cr.,55.98 %,14.38,0.97
https://ticker.finology.in/company/ADROITINFO,Adroit Infotech Ltd.,IT - Software,20.20,N/A,20.2,19.7,30.1,1.73,10,"0
                                %",11.68,1.46 Cr.,0.9 Cr.,39.06 %,0.36,6.69
https://ticker.finology.in/company/MIDHANI,Mishra Dhatu Nigam Ltd.,Steel & Iron Products,342.05,N/A,349.05,337.6,547.45,4.75,10,"0.41
                                %",71.96,16.61 Cr.,324.14 Cr.,74 %,4.67,23.02
https://ticker.finology.in/company/MANUGRAPH,Manugraph India Ltd.,Engineering - Industrial Equipments,21.92,N/A,22.43,21.92,34.88,1.13,2,"0
                                %",19.34,0.44 Cr.,17.64 Cr.,57.67 %,-9.39,-17.36
https://ticker.finology.in/company/CCHHL,Country Club Hospitality & Holidays Ltd.,"Hotel, Resort & Restaurants",19.19,N/A,19.89,18.6,30.62,0.86,2,"0
                                %",22.31,0.91 Cr.,74.32 Cr.,73.8 %,0.17,-18.39
https://ticker.finology.in/company/OSELDEVICE,Osel Devices Ltd.,Medical Equipment/Supplies/Accessories,300.05,N/A,308,272.6,308,4.93,10,"0
                                %",60.82,4.77 Cr.,25.45 Cr.,71.53 %,8.09,61.48
https://ticker.finology.in/company/SHK,SH Kelkar And Company Ltd.,Chemicals,250.00,N/A,259,249.05,335.25,5.2,10,"0.3
                                %",48.08,21.49 Cr.,74.79 Cr.,55.63 %,-3.1,6.93
https://ticker.finology.in/company/DECCANTRAN,Deccan Transcon Leasing Ltd.,Shipping,62.10,N/A,62.15,58.5,117.9,1.61,10,"0
                                %",38.66,2.56 Cr.,22.11 Cr.,64.13 %,2.45,-22.08
https://ticker.finology.in/company/ANNAPURNA,Annapurna Swadisht Ltd.,Consumer Food,341.45,N/A,348,337.05,494.9,2.7,10,"0
                                %",126.55,1.7 Cr.,57.83 Cr.,39.92 %,6.52,65.43
https://ticker.finology.in/company/TRANSWORLD,Transworld Shipping Lines Ltd.,Shipping,401.30,N/A,406.7,393.2,493,1.11,10,"0
                                %",359.92,17.11 Cr.,405.24 Cr.,70.44 %,2.81,-41.63
https://ticker.finology.in/company/GROBTEA,The Grob Tea Company Ltd.,Tea/Coffee,1306.45,N/A,1327,1241.6,1515.15,1.42,10,"0.15
                                %",922.52,3.13 Cr.,9.35 Cr.,74.99 %,146.91,-2.25
https://ticker.finology.in/company/SKYGOLD,Sky Gold Ltd.,Diamond  &  Jewellery,414.40,N/A,428.8,402.55,488.95,8.09,10,"0
                                %",51.25,76.76 Cr.,298.75 Cr.,62.51 %,5.44,51.28
https://ticker.finology.in/company/IZMO,IZMO Ltd.,IT - Software,558.80,N/A,579.3,550,650.7,4.05,10,"0
                                %",138.04,5.6 Cr.,1.52 Cr.,31.82 %,16.3,23.23
https://ticker.finology.in/company/ABMINTLLTD,ABM International Ltd.,Trading,63.00,N/A,63,59.99,110.62,4.42,10,"0
                                %",14.26,4.21 Cr.,10.05 Cr.,74.7 %,0.08,9.69
https://ticker.finology.in/company/ISFT,Intrasoft Technologies Ltd.,BPO/ITeS,152.65,N/A,154.65,152,191.4,1.79,10,"0
                                %",85.26,2.17 Cr.,16.58 Cr.,43.06 %,1.22,-6.55
https://ticker.finology.in/company/S&SPOWER,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/PANACEABIO,Panacea Biotec Ltd.,Pharmaceuticals & Drugs,429.45,N/A,450.25,429.45,489,8.31,1,"0
                                %",51.69,29.44 Cr.,124.87 Cr.,72.87 %,-2.19,39.89
https://ticker.finology.in/company/ARSSINFRA,ARSS Infrastructure Projects Ltd.,Engineering - Construction,23.11,N/A,23.46,21.56,26.67,0,10,"0
                                %",-67.37,71.4 Cr.,1627.88 Cr.,46.7 %,-8.85,-20.29
https://ticker.finology.in/company/SHYAMTEL,Shyam Telecom Ltd.,Telecommunication - Equipment,20.57,N/A,22.3,20.57,34.99,0,10,"0
                                %",-24.01,0.14 Cr.,0 Cr.,66.16 %,-2.7,0
https://ticker.finology.in/company/JASH,Jash Engineering Ltd.,Engineering - Industrial Equipments,577.80,N/A,585,555.1,653.85,10.01,2,"0.25
                                %",57.71,64.37 Cr.,71.98 Cr.,43.61 %,11.73,27.09
https://ticker.finology.in/company/MCLEODRUSS,Mcleod Russel India Ltd.,Tea/Coffee,44.76,N/A,46.69,44.2,51.9,0,5,"0
                                %",-3.9,3.43 Cr.,1746.45 Cr.,6.25 %,-20.8,-15.8
https://ticker.finology.in/company/PRATHAM,Pratham EPC Projects Ltd.,Engineering - Construction,205.25,N/A,210,202,496.8,5.99,10,"0
                                %",34.26,17.87 Cr.,3.39 Cr.,72.97 %,5.66,37.11
https://ticker.finology.in/company/ARSHIYA,Arshiya Ltd.,Logistics,3.35,N/A,3.57,3.32,9.62,0,2,"0
                                %",-16.76,0.32 Cr.,600.29 Cr.,14.37 %,-44.59,-57.7
https://ticker.finology.in/company/KRIDHANINF,Kridhan Infra Ltd.,Steel & Iron Products,5.26,N/A,5.26,5.26,8.72,0,2,"0
                                %",-30.23,0.68 Cr.,27.45 Cr.,47.15 %,3.8,-75.48
https://ticker.finology.in/company/TCLCONS,Tantia Constructions Ltd.,Engineering - Construction,39.55,N/A,42.9,39.49,61.2,1.53,10,"0
                                %",25.89,8.24 Cr.,63.25 Cr.,94.33 %,4.57,-43.48
https://ticker.finology.in/company/KALYANIFRG,Kalyani Forge Ltd.,Forgings,697.00,N/A,697,674,740,2.94,10,"0.43
                                %",237.19,5.93 Cr.,60.91 Cr.,58.71 %,17.84,-10.93
https://ticker.finology.in/company/MORARJEE,Morarjee Textiles Ltd.,Textile - Weaving,10.94,N/A,11.55,10.59,32.74,0,7,"0
                                %",-132.01,4.18 Cr.,515.13 Cr.,59.71 %,-55.4,-24.04
https://ticker.finology.in/company/CREATIVEYE,Creative Eye Ltd.,TV Broadcasting & Software Production,8.15,N/A,8.2,8.15,11.1,0.8,5,"0
                                %",10.25,9.53 Cr.,6.38 Cr.,56.26 %,-0.67,-75.94
https://ticker.finology.in/company/GAYAHWS,Gayatri Highways Ltd.,Engineering - Construction,1.51,N/A,1.52,1.51,1.77,0,2,"0
                                %",-7.64,2.44 Cr.,405.72 Cr.,61.15 %,0.74,-77.44
https://ticker.finology.in/company/MTEDUCARE,MT Educare Ltd.,Educational Institutions,2.40,N/A,2.4,2.4,4.74,0.42,10,"0
                                %",5.7,6.64 Cr.,32.97 Cr.,59.12 %,-2.31,-18.62
https://ticker.finology.in/company/ORIANA,Oriana Power Ltd.,Engineering - Construction,2364.90,N/A,2440,2350.05,2984,13.42,10,"0
                                %",176.21,16.95 Cr.,32.59 Cr.,61.41 %,27.13,183.83
https://ticker.finology.in/company/ESSARSHPNG,Essar Shipping Ltd.,Shipping,38.18,N/A,38.18,37.5,71.57,0,10,"0
                                %",-67.35,5.89 Cr.,1934.63 Cr.,73.75 %,8.08,373.27
https://ticker.finology.in/company/NTL,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/FELDVR,Future Enterprises Ltd.-B-DVR,Miscellaneous,5.25,N/A,5.5,4.99,6.84,0,2,"0
                                %",0,49.41 Cr.,6490.29 Cr.,72.22 %,18.81,-78.3
https://ticker.finology.in/company/MBECL,Mcnally Bharat Engineering Company Ltd.,Engineering - Construction,4.27,N/A,4.3,4.27,7.23,0,10,"0
                                %",-219.72,20.32 Cr.,3107.73 Cr.,32.79 %,-42.3,-26.57
https://ticker.finology.in/company/HINDWAR-RE,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found,No data found
https://ticker.finology.in/company/NATIONALUM,National Aluminium Company Ltd.,Aluminium & Aluminium Products,213.65,N/A,218.8,213,263.1,2.47,5,"1.4
                                %",86.33,2575.15 Cr.,39.16 Cr.,51.28 %,17.25,-7.77
