URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/BANCOINDIA,Banco Products (India) Ltd.,Auto Ancillary,1025.05,N/A,1059.95,999,1076,9.08,2,"1.95
                                %",112.9,25.81 Cr.,4.64 Cr.,67.88 %,25.15,0.75
https://ticker.finology.in/company/DCAL,Dishman Carbogen Amcis Ltd.,Pharmaceuticals & Drugs,218.15,N/A,224.2,212.45,282.95,0.85,2,"0
                                %",258.02,9.9 Cr.,523.98 Cr.,59.32 %,-2.46,-18.68
https://ticker.finology.in/company/JFLLIFE,JFL Life Sciences Ltd.,Pharmaceuticals & Drugs,32.15,N/A,32.15,32.15,32.55,1.84,10,"0.78
                                %",17.45,0.03 Cr.,5.69 Cr.,67.47 %,1,8.68
https://ticker.finology.in/company/LUMAXTECH,Lumax Auto Technologies Ltd.,Auto Ancillary,502.00,N/A,505.75,500,608.15,5,2,"1.1
                                %",100.38,12.62 Cr.,368.66 Cr.,55.98 %,14.38,0.97
https://ticker.finology.in/company/ADROITINFO,Adroit Infotech Ltd.,IT - Software,21.78,N/A,22.5,21.78,30.1,1.86,10,"0
                                %",11.68,1.46 Cr.,0.9 Cr.,39.06 %,0.36,6.69
https://ticker.finology.in/company/MIDHANI,Mishra Dhatu Nigam Ltd.,Steel & Iron Products,310.00,N/A,316,305.8,547.45,4.31,10,"0.45
                                %",71.96,16.61 Cr.,324.14 Cr.,74 %,4.67,23.02
https://ticker.finology.in/company/MANUGRAPH,Manugraph India Ltd.,Engineering - Industrial Equipments,22.55,N/A,22.55,22.07,34.88,1.17,2,"0
                                %",19.34,0.44 Cr.,17.64 Cr.,57.67 %,-9.39,-17.36
https://ticker.finology.in/company/CCHHL,Country Club Hospitality & Holidays Ltd.,"Hotel, Resort & Restaurants",19.94,N/A,20.25,19,30.62,0.89,2,"0
                                %",22.31,0.91 Cr.,74.32 Cr.,73.8 %,0.17,-18.39
https://ticker.finology.in/company/OSELDEVICE,Osel Devices Ltd.,Medical Equipment/Supplies/Accessories,207.05,N/A,215,204,242,3.4,10,"0
                                %",60.82,4.77 Cr.,25.45 Cr.,71.53 %,8.09,61.48
https://ticker.finology.in/company/SHK,SH Kelkar And Company Ltd.,Chemicals,263.50,N/A,271.05,255,335.25,5.48,10,"0.28
                                %",48.08,21.49 Cr.,74.79 Cr.,55.63 %,-3.1,6.93
https://ticker.finology.in/company/DECCANTRAN,Deccan Transcon Leasing Ltd.,Shipping,61.30,N/A,62.95,60.5,117.9,6.13,10,"0
                                %",10,0,0,64.13 %,0,N/A
https://ticker.finology.in/company/ANNAPURNA,Annapurna Swadisht Ltd.,Consumer Food,374.35,N/A,386.8,368,494.9,2.96,10,"0
                                %",126.55,1.7 Cr.,57.83 Cr.,39.92 %,6.52,65.43
https://ticker.finology.in/company/TRANSWORLD,Transworld Shipping Lines Ltd.,Shipping,373.60,N/A,381.25,363.75,439,1.04,10,"0
                                %",359.92,17.11 Cr.,405.24 Cr.,70.44 %,2.81,-41.63
https://ticker.finology.in/company/GROBTEA,The Grob Tea Company Ltd.,Tea/Coffee,1225.15,N/A,1225.15,1225.15,1515.15,1.33,10,"0.16
                                %",922.52,3.13 Cr.,9.35 Cr.,74.99 %,146.91,-2.25
https://ticker.finology.in/company/SKYGOLD,Sky Gold Ltd.,Diamond  &  Jewellery,3772.90,N/A,3772.9,3665.15,3687,8.93,10,"0
                                %",422.54,76.76 Cr.,298.75 Cr.,62.51 %,54.36,51.28
https://ticker.finology.in/company/IZMO,IZMO Ltd.,IT - Software,440.55,N/A,458.35,414.25,558.45,3.19,10,"0
                                %",138.04,5.6 Cr.,1.52 Cr.,31.82 %,16.3,23.23
https://ticker.finology.in/company/ABMINTLLTD,ABM International Ltd.,Trading,69.31,N/A,69.61,69.31,110.62,4.88,10,"0
                                %",14.19,3.89 Cr.,0 Cr.,74.7 %,0.08,-32.77
